ConservationActions.ConservationActionsSubfield.ConservationActionsLookup,ConservationActions.ConservationActionsSubfield.ConservationActionsName,ConservationActions.ConservationActionsSubfield.note,internal_taxon_id
2.1,,"",22823
5.4.3,,"",22823
5.4.2,,"",22823
5.4.1,,"",22823
1.2,,"",22823
5.1.3,,"",22823
5.1.2,,"",22823
5.1.1,,"",22823
1.1,,"",22823
5.1.4,,"",22823
4.3,,"",22823
4.2,,"",22823
3.1.1,,"",22823
3.1.2,,"",22823
3.2,,"",22823
4.1,,"",22823
6.1,,,6909
4.2,,,6909
5.4.2,,,6909
4.3,,,6909
1.1,,,6909
4.1,,,6909
5.4.3,,,6909
5.4.1,,,6909
2.1,,,6909
3.1.2,,"",60344
5.4.2,,"",60344
5.1.2,,"",60344
3.4.1,,"",60344
2.1,,"",60344
2.3,,"",60344
3.1.1,,"",60344
2.3,,None,37583
2.1,,None,37583
3.2,,None,37583
4.2,,"",37583
5.4.2,,"",37583
