Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,internal_taxon_id
4,,Migrated from 3 Research Actions->3.7 Cultural relevance,22823
1.6,,"",22823
1.5,,"",22823
1.4,,"",22823
1.3,,"",22823
1.2,,"",22823
3.1,,"",22823
2.2,,"",22823
2.3,,"",22823
3.2,,"",22823
3.3,,"",22823
3.4,,"",22823
2.1,,"",22823
2.1,,"",6909
1.3,,"",6909
3.1,,"",6909
1.2,,"",6909
1.6,,"",6909
1.4,,"",6909
1.5,,"",6909
2.2,,"",6909
2.3,,"",6909
3.2,,"",6909
3.4,,"",6909
3.1,,,60344
1.3,,,60344
1.4,,,60344
1.5,,,60344
1.6,,,60344
1.2,,,60344
3.1,,"",37583
3.4,,"",37583
1.2,,"",37583
1.5,,"",37583
