Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,internal_taxon_id
2.3.7|1.1|1.2|2.1|2.2,,11.1,,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.2,,4.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2,,1.2,,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,,22823
2.3.7|1.2|2.2,,6.1,,,,,Minority (<50%),Unknown,,Ongoing,,22823
2.3.6|2.1,,5.1.1,,,,No,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,22823
1.2|2.1|2.2,,9.2.1,,,,,Unknown,Unknown,,Ongoing,,22823
2.3.7|1.2|2.2,,7.1.1,,,,,Minority (<50%),Unknown,,Future,,22823
1.2|2.1,,12.1,,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.1,,9.3.3,,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.2,,9.6.3,,,,,Unknown,Unknown,,Ongoing,,22823
2.1,,5.1.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.1|2.2,,3.1,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
1.3|2.1|2.2,,1.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
2.3.7|1.2|2.1,,8.1.1,,,,,Unknown,Unknown,,Future,,22823
2.3.7|1.2|2.1,,8.2,,,,,Unknown,Unknown,,Ongoing,,22823
2.1,,5.4.3,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
1.1|1.2,,1.1,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
2.1,,5.4.1,,,,,Minority (<50%),Rapid Declines,,Ongoing,,6909
1.2,,11.4,,,,,Whole (>90%),Rapid Declines,,Ongoing,,6909
2.2,,6.1,,,,,Minority (<50%),Unknown,,Ongoing,,6909
1.2,,9.3.4,,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,6909
1.1|1.2,,4.3,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
2.1,,9.2.1,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
2.1,,8.2,,,,,Unknown,Unknown,,Ongoing,,60344
,,8.1.1,,,,,Majority (50-90%),Unknown,,Ongoing,,60344
1.1|1.2|1.3|2.2,,4.2,,,,,Minority (<50%),Unknown,,Future,,60344
1.1|2.2,,1.2,,,,,Minority (<50%),Negligible declines,,Ongoing,,60344
