"internal_taxon_id","BasisOfRec","DEC_LONG","DEC_LAT","BINOMIAL","EVENT_YEAR","CATALOG_NO","SPATIALREF","PRESENCE","ORIGIN","SEASONAL","YEAR","DATA_SENS","SOURCE","COMPILER","CITATION"
"766791-1","PreservedSpecimen",-74.516667,24.033333,"Spermacoce laevis",1974,"22291","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/832cb04e-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-45.066667,-7.4,"Spermacoce laevis",1962,"RB00787075","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/4300f8d5-1ae5-49e5-a101-63894b005868","",""
"766791-1","PreservedSpecimen",-41.38333,-13,"Spermacoce laevis",1974,"P03910840","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/b5cdf794-8fa4-4a85-8b26-755d087bf531","",""
"766791-1","PreservedSpecimen",-41.38,-13,"Spermacoce laevis",1974,"K000016189","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/cd6e21c8-9e8a-493a-8a76-fbf7862069e5","",""
"766791-1","PreservedSpecimen",-38.5108,-12.9711,"Spermacoce laevis",1941,"17444","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1064b787-c882-493e-b17d-4ffba363b776","",""
"766791-1","PreservedSpecimen",-45.066667,-7.383333,"Spermacoce laevis",1970,"130594","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/17efa320-7312-4b55-bf0a-a4cfc4613169","",""
"766791-1","PreservedSpecimen",-44.5,-4,"Spermacoce laevis",1979,"RB00334831","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/4300f8d5-1ae5-49e5-a101-63894b005868","",""
"766791-1","PreservedSpecimen",-41.383333,-13,"Spermacoce laevis",1974,"23574","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/f45c5ee0-e5ec-42e3-a80a-07318144efa4","",""
"766791-1","PreservedSpecimen",-41.383333,-13,"Spermacoce laevis",1982,"11735","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/bc81e05b-ed51-46ba-a0a4-90fbae9b5545","",""
"766791-1","PreservedSpecimen",-41.383333,-13,"Spermacoce laevis",1974,"U.1573513","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"766791-1","PreservedSpecimen",-41.383333,-12.566667,"Spermacoce laevis",1994,"35090","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/bc81e05b-ed51-46ba-a0a4-90fbae9b5545","",""
"766791-1","PreservedSpecimen",-45.666667,-7.383333,"Spermacoce laevis",1970,"193303","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d82d5a18-0428-4e52-be16-f509153e8126","",""
"766791-1","PreservedSpecimen",-45.655778,-3.270617,"Spermacoce laevis",NA,"004913","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0c00cc8f-fd48-4771-acae-216bfc42dfc2","",""
"766791-1","PreservedSpecimen",-45.118889,-7.316667,"Spermacoce laevis",1962,"139233","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/17efa320-7312-4b55-bf0a-a4cfc4613169","",""
"766791-1","PreservedSpecimen",-45.066667,-7.4,"Spermacoce laevis",1962,"166599","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d82d5a18-0428-4e52-be16-f509153e8126","",""
"766791-1","PreservedSpecimen",-52.8731,-10.8339,"Spermacoce laevis",NA,"V0253423F","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/90c853e6-56bd-480b-8e8f-6285c3f8d42b","",""
"766791-1","PreservedSpecimen",-69.966667,-4.166667,"Spermacoce laevis",1974,"137305","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/18da9e5d-8966-4893-bf70-b3911152d991","",""
"766791-1","PreservedSpecimen",-75.917227,4.707488,"Spermacoce laevis",NA,"9744","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.917227,4.707488,"Spermacoce laevis",NA,"9745","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-77.1,8.018611,"Spermacoce laevis",1976,"3247264","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-77.092079,7.918658,"Spermacoce laevis",1982,"294435","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/18da9e5d-8966-4893-bf70-b3911152d991","",""
"766791-1","PreservedSpecimen",-76.6667,5.1,"Spermacoce laevis",1979,"MA-01-00380558","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/834c9918-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-74.69958,10.99855,"Spermacoce laevis",1972,"FMB-1608","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/de45bd59-54e6-4f62-9a15-b481af99fc48","",""
"766791-1","PreservedSpecimen",-75.271394,6.130167,"Spermacoce laevis",NA,"4002","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2e6917b2-44b4-4af7-94ce-47ac40677784","",""
"766791-1","PreservedSpecimen",-74.93977,5.2005,"Spermacoce laevis",NA,"9759","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-73.073369,3.901155,"Spermacoce laevis",NA,"BM001009076","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7e380070-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-75.380032,5.046734,"Spermacoce laevis",1999,"9719","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.668074,4.987467,"Spermacoce laevis",NA,"9749","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-76.1525,4.783333,"Spermacoce laevis",1983,"278615","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/18da9e5d-8966-4893-bf70-b3911152d991","",""
"766791-1","PreservedSpecimen",-75.688725,5.086719,"Spermacoce laevis",NA,"9736","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-74.8835,4.905451,"Spermacoce laevis",1962,"108016","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/18da9e5d-8966-4893-bf70-b3911152d991","",""
"766791-1","PreservedSpecimen",-75.688725,5.086719,"Spermacoce laevis",NA,"10107","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-74.126556,11.23489,"Spermacoce laevis",1966,"FMB-60087","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/de45bd59-54e6-4f62-9a15-b481af99fc48","",""
"766791-1","PreservedSpecimen",-76.53502,3.8492,"Spermacoce laevis",NA,"9747","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-76.51113,3.59163,"Spermacoce laevis",NA,"9746","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.47896,4.92523,"Spermacoce laevis",NA,"9751","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-74.08019,4.73459,"Spermacoce laevis",NA,"9731","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.492902,5.055947,"Spermacoce laevis",NA,"9737","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.688725,5.086719,"Spermacoce laevis",NA,"9757","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-76.4,7.2,"Spermacoce laevis",1976,"1841779","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-75.211371,5.359834,"Spermacoce laevis",NA,"9752","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.529117,5.106498,"Spermacoce laevis",NA,"9734","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.509364,5.031546,"Spermacoce laevis",NA,"9738","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.62758,4.8668,"Spermacoce laevis",NA,"9748","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-75.496617,5.083048,"Spermacoce laevis",NA,"9756","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","HumanObservation",-76.183611,3.97525,"Spermacoce laevis",2013,"IAvH:BICUB:SANPEDRO:PLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IPT010:277","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/73e5b51c-de49-41ed-a6d2-ff3d5206c424","",""
"766791-1","PreservedSpecimen",-75.500585,6.294721,"Spermacoce laevis",NA,"9743","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/2f7208c8-b31d-4287-84b4-fc10ab376302","",""
"766791-1","PreservedSpecimen",-76.7833,20.2667,"Spermacoce laevis",1943,"MT00114726","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0348540a-e644-4496-89d3-c257da9ad776","",""
"766791-1","PreservedSpecimen",-74.6972,20.3,"Spermacoce laevis",2013,"3689255","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/821cc27a-e3bb-4bc5-ac34-89ada245069d","",""
"766791-1","PreservedSpecimen",-76.102501,19.986668,"Spermacoce laevis",2012,"B 10 0480766","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/85714c48-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-70.116,18.466,"Spermacoce laevis",1988,"542937","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-77.319014,18.151419,"Spermacoce laevis",NA,"BM000588993","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7e380070-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-97.66,19.936667,"Spermacoce laevis",1998,"10154","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd22ba99-bd1c-4950-b97f-5e43066b6791","",""
"766791-1","PreservedSpecimen",-97.941389,20.086667,"Spermacoce laevis",1976,"69919","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-100.078611,18.885556,"Spermacoce laevis",1979,"2343","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/9d300300-333d-4ac3-abcb-04d4b369e556","",""
"766791-1","PreservedSpecimen",-97.303333,20,"Spermacoce laevis",1976,"202210","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd22ba99-bd1c-4950-b97f-5e43066b6791","",""
"766791-1","PreservedSpecimen",-99.1928046112786,19.3152230837169,"Spermacoce laevis",1952,"NO DISPONIBLE","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/c5938535-cbc1-4ef8-bd25-756e4c6b3985","",""
"766791-1","PreservedSpecimen",-97.942778,19.909722,"Spermacoce laevis",1998,"10153","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd22ba99-bd1c-4950-b97f-5e43066b6791","",""
"766791-1","PreservedSpecimen",-97.511667,19.98,"Spermacoce laevis",1998,"10156","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd22ba99-bd1c-4950-b97f-5e43066b6791","",""
"766791-1","PreservedSpecimen",-100.01,19.05,"Spermacoce laevis",1972,"2387615","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-100.15,18.9,"Spermacoce laevis",1932,"3616221","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-99.258333,18.996944,"Spermacoce laevis",1969,"P15972","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-97.8075,20.185278,"Spermacoce laevis",1999,"10152","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd22ba99-bd1c-4950-b97f-5e43066b6791","",""
"766791-1","PreservedSpecimen",-98.958333,18.4875,"Spermacoce laevis",1994,"12786","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b01cca-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-99.171111,19.291111,"Spermacoce laevis",1970,"NO DISPONIBLE","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/c5938535-cbc1-4ef8-bd25-756e4c6b3985","",""
"766791-1","PreservedSpecimen",-97.458611,20.0725,"Spermacoce laevis",1980,"335005","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd22ba99-bd1c-4950-b97f-5e43066b6791","",""
"766791-1","PreservedSpecimen",-98.126389,18.533333,"Spermacoce laevis",1995,"11987","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b01cca-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-98.108611,18.910833,"Spermacoce laevis",1966,"196378","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd22ba99-bd1c-4950-b97f-5e43066b6791","",""
"766791-1","PreservedSpecimen",-98.957778,18.5,"Spermacoce laevis",1995,"11985","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b01cca-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-99.23,18.91,"Spermacoce laevis",1969,"3601376","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-97.796944,20.068611,"Spermacoce laevis",1986,"69922","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-98.983889,18.464444,"Spermacoce laevis",1995,"11986","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/80b01cca-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-97.103611,18.849722,"Spermacoce laevis",1854,"NO DISPONIBLE","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-97.024722,19.408056,"Spermacoce laevis",1998,"76720","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-96.137778,19.199167,"Spermacoce laevis",1853,"V025133","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-96.941667,19.508333,"Spermacoce laevis",1981,"V084827","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-97.108333,18.858333,"Spermacoce laevis",1968,"V066218","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-96.858333,19.408333,"Spermacoce laevis",1990,"K413653","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","Unknown",-97.033811,19.331472,"Spermacoce laevis",NA,"NO DISPONIBLE","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/dd08f438-2915-424a-a861-873eaa031b95","",""
"766791-1","PreservedSpecimen",-96.225,19.191667,"Spermacoce laevis",1987,"V106100","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-96.76,19.340556,"Spermacoce laevis",1991,"69918","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-97.229444,18.948889,"Spermacoce laevis",1891,"NO DISPONIBLE","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-96.943611,19.513056,"Spermacoce laevis",1979,"V018922","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-97.15,19.633333,"Spermacoce laevis",1988,"NO DISPONIBLE","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/809bcf86-f762-11e1-a439-00145eb45e9a","",""
"766791-1","PreservedSpecimen",-96.864167,19.505556,"Spermacoce laevis",1990,"K429743","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-96.958056,19.456944,"Spermacoce laevis",1990,"69932","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-97.091667,18.858333,"Spermacoce laevis",1944,"V071203","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
"766791-1","PreservedSpecimen",-96.951389,19.499167,"Spermacoce laevis",1991,"K412169","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/850e5d36-21b7-4eae-84b2-3dc93db6a153","",""
