"IPNI_ID","name_in","author","accepted","EOO","AOO","RecordCount","TDWGCount","POWO_ID","full_name","Warning"
"766791-1","Spermacoce laevis","Lam.",TRUE,15510914,32400,551,23,"766791-1","Spermacoce laevis",""
"298806-1","Carex bermudiana","Hemsl.",TRUE,NA,NA,NA,NA,"298806-1","Carex bermudiana","No GBIF points in native range"
"49199-2","Cassine laneana","(A.H.Moore) J.W.Ingram",TRUE,NA,NA,NA,NA,"49199-2","Cassine laneana","No GBIF points"
"117123-2","Halodule bermudensis","Hartog",TRUE,0,100,1,1,"117123-2","Halodule bermudensis",""
"189694-2","Peperomia septentrionalis","S.Br.",TRUE,NA,NA,NA,NA,"189694-2","Peperomia septentrionalis","No GBIF points in native range"
"192453-2","Phaseolus lignosus","Britton",TRUE,NA,NA,NA,NA,"192453-2","Phaseolus lignosus","No GBIF points in native range"
"440950-1","Sisyrinchium bermudiana","L.",TRUE,NA,NA,NA,NA,"440950-1","Sisyrinchium bermudiana","No GBIF points in native range"
"140342-2","Limonium carolinianum","(Walter) Britton",TRUE,4074913,19600,309,25,"140342-2","Limonium carolinianum",""
"854920-1","Parietaria floridana","Nutt.",TRUE,18394966,9800,117,35,"854920-1","Parietaria floridana",""
"320025-1","Scabiosa nitens","Roem. & Schult.",TRUE,43282,3600,511,1,"320025-1","Scabiosa nitens",""
"67194-1","Zephyranthes bifolia","(Aubl.) M.Roem.",TRUE,0,200,2,2,"67194-1","Zephyranthes bifolia",""
"47910-2","Casasia clusiifolia","(Jacq.) Urb.",TRUE,244579,1800,24,5,"47910-2","Casasia clusiifolia",""
"279056-2","Juniperus bermudiana","L.",TRUE,NA,NA,NA,NA,"279056-2","Juniperus bermudiana","No GBIF points in native range"
"854710-1","Morus rubra","L.",TRUE,4000171,63700,935,34,"854710-1","Morus rubra",""
"613788-1","Oenothera humifusa","Nutt.",TRUE,169050,1500,23,4,"613788-1","Oenothera humifusa",""
"675314-1","Passiflora pectinata","Griseb.",TRUE,560927,1100,18,5,"675314-1","Passiflora pectinata",""
"83863-1","Ilex vomitoria","Aiton",TRUE,207338,3400,44,4,"83863-1","Ilex vomitoria",""
"941424-1","Noronhia emarginata","(Lam.) Poir.",TRUE,92176,1500,41,1,"941424-1","Noronhia emarginata",""
"375818-1","Pelargonium capitatum","(L.) L'Hér.",TRUE,436677,8800,189,2,"375818-1","Pelargonium capitatum",""
"312338-1","Rhynchospora odorata","C.Wright ex Griseb.",TRUE,556316,2500,30,9,"312338-1","Rhynchospora odorata",""
"284484-2","Sabal bermudana","L.H.Bailey",TRUE,NA,NA,NA,NA,"284484-2","Sabal bermudana","No GBIF points in native range"
"859266-1","Centranthus macrosiphon","Boiss.",TRUE,303784,13100,296,3,"859266-1","Centranthus macrosiphon",""
"277293-2","Galium bermudense","L.",TRUE,1446876,5300,60,14,"277293-2","Galium bermudense",""
"443432-1","Juncus roemerianus","Scheele",TRUE,996550,6700,95,13,"443432-1","Juncus roemerianus",""
"91930-1","Schefflera arboricola","(Hayata) Merr.",TRUE,240865,7000,208,2,"91930-1","Schefflera arboricola",""
