"internal_taxon_id","BasisOfRec","DEC_LONG","DEC_LAT","BINOMIAL","EVENT_YEAR","CATALOG_NO","SPATIALREF","PRESENCE","ORIGIN","SEASONAL","YEAR","DATA_SENS","SOURCE","COMPILER","CITATION"
"320035-2","HumanObservation",83.670181,53.263039,"Poa annua",2019,"24932595","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","Unknown",15.1,47.2,"Poa annua",2018,"1778152","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/882d105b-fa99-4c3b-a736-b43674ce91f3","",""
"320035-2","HumanObservation",16.358533,48.229663,"Poa annua",2018,"11007069","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.40287,54.825083,"Poa annua",2019,"24905764","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.402523,54.839941,"Poa annua",2019,"24982343","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.480532,54.960384,"Poa annua",2019,"22188936","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.48226,54.961904,"Poa annua",2019,"24382602","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.588419,54.881593,"Poa annua",2019,"24350806","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",25.290135,54.748355,"Poa annua",2019,"25510205","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.503512,54.714247,"Poa annua",2019,"24874384","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",19.972363,54.862068,"Poa annua",2019,"24592696","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.463371,54.902795,"Poa annua",2019,"25426683","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.470128,54.952834,"Poa annua",2019,"22821152","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.506086,54.911266,"Poa annua",2019,"25012321","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.523042,54.722088,"Poa annua",2019,"24491898","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",20.482299,54.961747,"Poa annua",2019,"24842875","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",5.7,51.2,"Poa annua",2018,"OBS.149184581","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/8a863029-f435-446a-821e-275f4f641165","",""
"320035-2","HumanObservation",5.21788,51.06812,"Poa annua",2018,"04937579","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",2.94433,51.23343,"Poa annua",2018,"04904543","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",4.482285,51.022968,"Poa annua",2019,"24931819","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",6.158997,49.618679,"Poa annua",2018,"10679678","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",5.42654,50.83269,"Poa annua",2018,"04893512","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",3.75,51.2,"Poa annua",2018,"OBS.147402736","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/8a863029-f435-446a-821e-275f4f641165","",""
"320035-2","HumanObservation",5.26016,51.04084,"Poa annua",2018,"04893117","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.42431,50.73382,"Poa annua",2018,"04892857","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",3.8,51.2,"Poa annua",2018,"OBS.147802924","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/8a863029-f435-446a-821e-275f4f641165","",""
"320035-2","HumanObservation",4.402486,51.162716,"Poa annua",2019,"22704766","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",5.57833,50.64716,"Poa annua",2018,"3429825","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/baa86fb2-7346-4507-a34f-44e4c1bd0d57","",""
"320035-2","HumanObservation",5.42633,50.8237,"Poa annua",2018,"04893607","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",4.9364,51.356178,"Poa annua",2019,"24207790","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",5.54098,50.86757,"Poa annua",2018,"04894023","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",6.130196,49.606669,"Poa annua",2019,"23889604","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",5.4241,50.72483,"Poa annua",2018,"04899475","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.42776,50.88662,"Poa annua",2018,"04899174","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.1458,51.02367,"Poa annua",2018,"04938077","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",3.77793,50.98881,"Poa annua",2018,"04884247","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.42613,50.81471,"Poa annua",2018,"04908049","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",3.9,51.2,"Poa annua",2018,"OBS.148125685","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/8a863029-f435-446a-821e-275f4f641165","",""
"320035-2","HumanObservation",5.95,50.75,"Poa annua",2018,"OBS.148028681","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/8a863029-f435-446a-821e-275f4f641165","",""
"320035-2","HumanObservation",5.43888,50.75167,"Poa annua",2018,"04909651","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.14595,51.03266,"Poa annua",2018,"04938493","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.22634,50.75341,"Poa annua",2018,"04899012","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.48288,50.81419,"Poa annua",2018,"04910036","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.24556,51.02297,"Poa annua",2018,"04893023","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",6.125857,49.609555,"Poa annua",2019,"23102063","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7","",""
"320035-2","HumanObservation",4.27698,50.6936,"Poa annua",2018,"04941095","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/271c444f-f8d8-4986-b748-e7367755c0c1","",""
"320035-2","HumanObservation",5.7,50.75,"Poa annua",2018,"OBS.148967497","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/8a863029-f435-446a-821e-275f4f641165","",""
