"POWO_ID","countryoccurrence.countryoccurrencesubfield.countryoccurrencelookup","countryoccurrence.countryoccurrencesubfield.countryoccurrencename","CountryOccurrence.CountryOccurrenceSubfield.presence","CountryOccurrence.CountryOccurrenceSubfield.origin","CountryOccurrence.CountryOccurrenceSubfield.seasonaility"
"752069-1","ALD-OO","Aldabra","Extant","Native","Resident"
"752069-1","SC","Seychelles","Extant","Native","Resident"
"752069-1","AND-AN","Andaman Is.","Extant","Native","Resident"
"752069-1","IN","India","Extant","Native","Resident"
"752069-1","BD","Bangladesh","Extant","Native","Resident"
"752069-1","PG","Papua New Guinea","Extant","Native","Resident"
"752069-1","BIS-OO","Bismarck Archipelago","Extant","Native","Resident"
"752069-1","BOR-KA","Kalimantan","Extant","Native","Resident"
"752069-1","BOR-SB","Sabah","Extant","Native","Resident"
"752069-1","BOR-SR","Sarawak","Extant","Native","Resident"
"752069-1","ID","Indonesia","Extant","Native","Resident"
"752069-1","MY","Malaysia","Extant","Native","Resident"
"752069-1","BN","Brunei Darussalam","Extant","Native","Resident"
"752069-1","CGS-OO","Chagos Archipelago","Extant","Native","Resident"
"752069-1","IO","British Indian Ocean Territory","Extant","Native","Resident"
"752069-1","CN","China","Extant","Native","Resident"
"752069-1","CHH-OO","Hainan","Extant","Native","Resident"
"752069-1","CC","Cocos (Keeling) Islands","Extant","Native","Resident"
"752069-1","CK","Cook Islands","Extant","Native","Resident"
"752069-1","COO-OO","Cook Is.","Extant","Native","Resident"
"752069-1","PW","Palau","Extant","Native","Resident"
"752069-1","FM","Micronesia, Federated States of","Extant","Native","Resident"
"752069-1","FJ","Fiji","Extant","Native","Resident"
"752069-1","GIL-OO","Gilbert Is.","Extant","Native","Resident"
"752069-1","KI","Kiribati","Extant","Native","Resident"
"752069-1","JAW-OO","Jawa","Extant","Native","Resident"
"752069-1","KE","Kenya","Extant","Native","Resident"
"752069-1","LDV-OO","Laccadive Is.","Extant","Native","Resident"
"752069-1","LIN-US","US Line Is.","Extant","Native","Resident"
"752069-1","UM","United States Minor Outlying Islands","Extant","Native","Resident"
"752069-1","LIN-KI","Kiribati Line Is.","Extant","Native","Resident"
"752069-1","LSI-LS","Lesser Sunda Is.","Extant","Native","Resident"
"752069-1","MCI-OO","Mozambique Channel Is.","Extant","Native","Resident"
"752069-1","TF","French Southern Territories","Extant","Native","Resident"
"752069-1","MG","Madagascar","Extant","Native","Resident"
"752069-1","MV","Maldives","Extant","Native","Resident"
"752069-1","MLY-PM","Peninsular Malaysia","Extant","Native","Resident"
"752069-1","SGE-OO","Singapore","Extant","Native","Resident"
"752069-1","MOL-OO","Maluku","Extant","Native","Resident"
"752069-1","MZ","Mozambique","Extant","Native","Resident"
"752069-1","MP","Northern Mariana Islands","Extant","Native","Resident"
"752069-1","GU","Guam","Extant","Native","Resident"
"752069-1","MRQ-OO","Marquesas","Extant","Native","Resident"
"752069-1","PF","French Polynesia","Extant","Native","Resident"
"752069-1","ZA","South Africa","Extant","Native","Resident"
"752069-1","NAT-OO","KwaZulu-Natal","Extant","Native","Resident"
"752069-1","NCB-OO","Nicobar Is.","Extant","Native","Resident"
"752069-1","JP","Japan","Extant","Native","Resident"
"752069-1","NNS-OO","Nansei-shoto","Extant","Native","Resident"
"752069-1","NR","Nauru","Extant","Native","Resident"
"752069-1","NTA-OO","Northern Territory","Extant","Native","Resident"
"752069-1","AU","Australia","Extant","Native","Resident"
"752069-1","NU","Niue","Extant","Native","Resident"
"752069-1","NC","New Caledonia","Extant","Native","Resident"
"752069-1","NWG-PN","Papua New Guinea (main island group)","Extant","Native","Resident"
"752069-1","PH","Philippines","Extant","Native","Resident"
"752069-1","PHX-OO","Phoenix Is.","Extant","Native","Resident"
"752069-1","PN","Pitcairn","Extant","Native","Resident"
"752069-1","QLD-QU","Queensland","Extant","Native","Resident"
"752069-1","WS","Samoa","Extant","Native","Resident"
"752069-1","SCI-OO","Society Is.","Extant","Native","Resident"
"752069-1","SCS-PI","Spratly Is.","Extant","Native","Resident"
"752069-1","DT","Disputed Territory","Extant","Native","Resident"
"752069-1","SCS-PI","Paracel Is.","Extant","Native","Resident"
"752069-1","SEY-OO","Seychelles (main island group)","Extant","Native","Resident"
"752069-1","SB","Solomon Islands","Extant","Native","Resident"
"752069-1","LK","Sri Lanka","Extant","Native","Resident"
"752069-1","SUL-OO","Sulawesi","Extant","Native","Resident"
"752069-1","TW","""Taiwan, Province of China""","Extant","Native","Resident"
"752069-1","TAI-OO","""Taiwan, Province of China (main island)""","Extant","Native","Resident"
"752069-1","TZ","""Tanzania, United Republic of""","Extant","Native","Resident"
"752069-1","TH","Thailand","Extant","Native","Resident"
"752069-1","AS","American Samoa","Extant","Native","Resident"
"752069-1","TK","Tokelau","Extant","Native","Resident"
"752069-1","TOK-SW","Swains Is.","Extant","Native","Resident"
"752069-1","TOK-MA","Manihiki Is.","Extant","Native","Resident"
"752069-1","TO","Tonga","Extant","Native","Resident"
"752069-1","TUA-OO","Tuamotu","Extant","Native","Resident"
"752069-1","TUB-OO","Tubuai Is.","Extant","Native","Resident"
"752069-1","TV","Tuvalu","Extant","Native","Resident"
"752069-1","VU","Vanuatu","Extant","Native","Resident"
"752069-1","VN","Viet Nam","Extant","Native","Resident"
"752069-1","WF","Wallis and Futuna","Extant","Native","Resident"
"752069-1","WAU-WA","Western Australia","Extant","Native","Resident"
"752069-1","CX","Christmas Island","Extant","Native","Resident"
