code,description
1,Forest
1.1,Forest - Boreal
1.2,Forest - Subarctic
1.3,Forest - Subantarctic
1.4,Forest - Temperate
1.5,Forest - Subtropical/Tropical Dry
1.6,Forest - Subtropical/Tropical Moist Lowland
1.7,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level
1.8,Forest - Subtropical/Tropical Swamp
1.9,Forest - Subtropical/Tropical Moist Montane
2,Savanna
2.1,Savanna - Dry
2.2,Savanna - Moist
3,Shrubland
3.1,Shrubland - Subarctic
3.2,Shrubland - Subantarctic
3.3,Shrubland - Boreal
3.4,Shrubland - Temperate
3.5,Shrubland - Subtropical/Tropical Dry
3.6,Shrubland - Subtropical/Tropical Moist
3.7,Shrubland - Subtropical/Tropical High Altitude
3.8,Shrubland - Mediterranean-type Shrubby Vegetation
4,Grassland
4.1,Grassland - Tundra
4.2,Grassland - Subarctic
4.3,Grassland - Subantarctic
4.4,Grassland - Temperate
4.5,Grassland - Subtropical/Tropical Dry
4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded
4.7,Grassland - Subtropical/Tropical High Altitude
5,Wetlands (inland)
5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
5.3,Wetlands (inland) - Shrub Dominated Wetlands
5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands"
5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)
5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
5.9,Wetlands (inland) - Freshwater Springs and Oases
5.1,Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt)
5.11,Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt)
5.12,Wetlands (inland) - Geothermal Wetlands
5.13,Wetlands (inland) - Permanent Inland Deltas
5.14,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes"
5.15,"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats"
5.16,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools"
