"internal_taxon_id","BasisOfRec","DEC_LONG","DEC_LAT","BINOMIAL","EVENT_YEAR","CATALOG_NO","SPATIALREF","PRESENCE","ORIGIN","SEASONAL","YEAR","DATA_SENS","SOURCE","COMPILER","CITATION"
"314550-1","HumanObservation",1.426513,9.720545,"Scleria achtenii",2001,"fl-aa-2016-14064","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ef9fca55-a303-458a-b95d-eeff0e8cce46","",""
"314550-1","HumanObservation",1.419851,9.734822,"Scleria achtenii",2001,"fl-aa-2016-13979","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ef9fca55-a303-458a-b95d-eeff0e8cce46","",""
"314550-1","HumanObservation",2.139504,6.956808,"Scleria achtenii",2008,"GJ&HM_2019_0967","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ee37f1cd-9359-4d8f-ad7e-22e3ac4a740c","",""
"314550-1","PreservedSpecimen",1.5,9.85,"Scleria achtenii",1999,"WAG.1776502","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","HumanObservation",2.156093,6.959651,"Scleria achtenii",2008,"GJ&HM_2019_1004","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ee37f1cd-9359-4d8f-ad7e-22e3ac4a740c","",""
"314550-1","HumanObservation",2.159768,6.976915,"Scleria achtenii",2008,"GJ&HM_2019_1996","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ee37f1cd-9359-4d8f-ad7e-22e3ac4a740c","",""
"314550-1","PreservedSpecimen",1.183333,10.15,"Scleria achtenii",2000,"WAG.1776501","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","HumanObservation",1.341511,10.135629,"Scleria achtenii",1999,"FF-V-6759","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/672303ae-0589-4308-9e34-5f386167e60e","",""
"314550-1","HumanObservation",2.171222,6.368361,"Scleria achtenii",2004,"GJ&HM_2019_0037","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ee37f1cd-9359-4d8f-ad7e-22e3ac4a740c","",""
"314550-1","HumanObservation",2.240393,6.970471,"Scleria achtenii",2008,"2019-5139","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/5d3bd3a3-b4b6-41f5-968d-8b8f99340800","",""
"314550-1","HumanObservation",2.162137,6.97316,"Scleria achtenii",2008,"GJ&HM_2019_1403","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ee37f1cd-9359-4d8f-ad7e-22e3ac4a740c","",""
"314550-1","HumanObservation",1.487997,10.288595,"Scleria achtenii",2001,"fl-aa-2016-15011","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ef9fca55-a303-458a-b95d-eeff0e8cce46","",""
"314550-1","HumanObservation",2.135238,6.976004,"Scleria achtenii",2008,"GJ&HM_2019_1814","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ee37f1cd-9359-4d8f-ad7e-22e3ac4a740c","",""
"314550-1","HumanObservation",2.634615,7.003042,"Scleria achtenii",NA,"Tof/2004/DL/622","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/69608318-64d6-4267-9bc3-ac1aa47866cd","",""
"314550-1","HumanObservation",2.143888,6.969724,"Scleria achtenii",2008,"GJ&HM_2019_1223","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/ee37f1cd-9359-4d8f-ad7e-22e3ac4a740c","",""
