"IPNI_ID","name_in","author","accepted","EOO","AOO","RecordCount","TDWGCount","POWO_ID","full_name","Warning"
"314550-1","Scleria achtenii","De Wild.",TRUE,10319444,6800,123,20,"314550-1","Scleria achtenii",""
"313587-2","Scleria amazonica","Camelb., M.T.Strong & Goetgh.",TRUE,646673,1800,26,2,"313587-2","Scleria amazonica",""
"314565-1","Scleria angusta","Nees ex Kunth",TRUE,1121311,1900,32,2,"314565-1","Scleria angusta",""
"314568-1","Scleria annularis","Steud.",TRUE,NA,NA,NA,NA,"314568-1","Scleria annularis","No GBIF points in native range"
"314585-1","Scleria baldwinii","(Torr.) Steud.",TRUE,680633,3900,47,9,"314585-1","Scleria baldwinii",""
"766791-1","Spermacoce laevis","Lam.",TRUE,15510914,33000,555,23,"766791-1","Spermacoce laevis",""
"140342-2","Limonium carolinianum","(Walter) Britton",TRUE,4074913,19300,312,25,"140342-2","Limonium carolinianum",""
"854920-1","Parietaria floridana","Nutt.",TRUE,17991882,9900,118,35,"854920-1","Parietaria floridana",""
"854710-1","Morus rubra","L.",TRUE,4041415,66900,964,34,"854710-1","Morus rubra",""
"312338-1","Rhynchospora odorata","C.Wright ex Griseb.",TRUE,556316,2800,34,9,"312338-1","Rhynchospora odorata",""
"859266-1","Centranthus macrosiphon","Boiss.",FALSE,NA,NA,NA,NA,"859266-1","Centranthus macrosiphon","No TDWG distribution data"
"277293-2","Galium bermudense","L.",TRUE,1446876,5500,62,14,"277293-2","Galium bermudense",""
"822645-1","Cola acuminata","(P.Beauv.) Schott & Endl.",TRUE,2911883,10200,198,11,"822645-1","Cola acuminata",""
"822648-1","Cola altissima","Engl.",TRUE,1005095,2400,37,6,"822648-1","Cola altissima",""
"822656-1","Cola ballayi","Cornu ex Heckel",TRUE,188656,800,14,6,"822656-1","Cola ballayi",""
