kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Acanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Aceraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Achariaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Achatocarpaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,Acoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Actinidiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,Adoxaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Aextoxicaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Agavaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Agdestidaceae
PLANTAE,BRYOPHYTA,MARCHANTIOPSIDA,MARCHANTIALES,Aitchinsoniellaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Aizoaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES,Akaniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,Alangiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,Alismataceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Alliaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Aloaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Alseuosmiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Alstroemeriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,Alzateaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Amaranthaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Amaryllidaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Amblystegiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,Amborellaceae
PLANTAE,BRYOPHYTA,SPHAGNOPSIDA,AMBUCHANANIALES,Ambuchananiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Anacardiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,RESTIONALES,Anarthriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Ancistrocladaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SCHIZAEALES,Anemiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,Anisophylleaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Annonaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Anthericaceae
PLANTAE,ANTHOCERATOPHYTA,ANTHOCEROTOPSIDA,ANTHOCEROTALES,Anthocerotaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Aphyllanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,Apiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,Apocynaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,Aponogetonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Aquifoliaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,Araceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,Araliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,Aralidiaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,Araucariaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,ARCHIDIALES,Archidiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,Arecaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ARISTOLOCHIALES,Aristolochiaceae
